Ensembl	Entrez	Symbol	CCs_Hep3B	CCs_Huh7	CCs_PLC-PRF-5	CSCs_Hep3B	CSCs_Huh7	CSCs_PLC-PRF-5
ENSG00000092445	7301	TYRO3	6.37222108007653	6.71850874796336	5.12654126206648	6.85473391080112	6.9080347610982	5.05935625481216
ENSG00000092470	79968	WDR76	6.95162481766817	6.11167692056424	7.76696014601288	7.28724568707185	6.54787901386905	7.93799890995501
ENSG00000092529	825	CAPN3	3.99386131648074	4.5912628173381	4.70320468022951	4.39271868923182	4.68395885988248	4.80618298538505
ENSG00000092531	8773	SNAP23	9.45688430883538	9.29952291017796	9.5300886536866	9.5073793115914	9.22313077844953	9.50932063545497
ENSG00000092607	6913	TBX15	7.53734969047783	4.36458400969229	4.54520189413691	7.38319877883169	4.74970418160069	4.5581455464094
ENSG00000092621	26227	PHGDH	7.76215729066078	8.53470286934966	7.08910556030092	7.87861637711892	8.57043400014035	7.00574853822494
ENSG00000092758	1299	COL9A3	5.81200874435479	5.05462654916472	5.20194904819458	6.23960024540673	5.16823107885054	4.93290981865523
ENSG00000092820	7430	EZR	9.39589126369568	9.33505636733011	9.23676666991807	9.44487358980032	9.46454590102655	9.26448626734539
ENSG00000092841	4637	MYL6	6.37935658991156	6.57319060817103	6.3626798982102	6.15754127988136	6.70356606998943	6.4370747801633
ENSG00000092847	26523	AGO1	7.91195616591161	8.78075592593905	9.09273861523007	8.0008745933009	8.66210639942892	8.93279561047081
ENSG00000092850	27285	TEKT2	4.07313529129589	4.25725665716921	4.20760719005624	4.03842072837449	3.92028950468323	3.82975470026978
ENSG00000092853	63967	CLSPN	6.34029544759525	6.23575965727199	6.69856901253797	6.40500260822592	6.3366734658848	6.6788421252608
ENSG00000092871	117584	RFFL	6.29276388531367	6.73389105961806	6.00651405731574	6.38751799978238	6.76879839380194	6.07066420746928
ENSG00000092929	201294	UNC13D	4.97723642587724	4.84154794330646	4.97836187982761	5.24817259465062	4.89242810930025	4.89241277979585
ENSG00000092931	79157	MFSD11	4.86214932251243	4.57289009094916	4.01381181785679	4.53913484690845	4.49323392665013	4.24858433567979
ENSG00000092964	1808	DPYSL2	5.70264057253357	5.99133582245222	4.31228091430377	5.56647195366965	6.55565987567956	4.84670256935982
ENSG00000092969	7042	TGFB2	5.91721304814976	5.78420346966873	4.07302358511253	6.52006477216705	6.18557567754993	3.77557884634668
ENSG00000092978	55105	GPATCH2	6.02105676210283	6.38035117429185	5.99662708512756	5.9756939866588	6.26752600954297	5.864517585885
ENSG00000093000	10762	NUP50	5.68411484376661	5.63694670862629	5.47327329395136	5.7213307797366	5.6193925034297	5.51662779385256
ENSG00000093009	8318	CDC45	7.20031701851012	7.20131389119846	7.37541003011083	7.43416028958606	7.63329362540307	7.49688633268437
ENSG00000093010	1312	COMT	5.64824700799774	4.86000711022027	5.6138739928609	5.77485582107607	4.98247426411568	5.62831263312566
