Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CSCs_1	CSCs_2	CSCs_3
ENSG00000217094	NA	NA	12.1797015570112	11.8886347046672	12.4936545880838	11.9735777906338	12.1649005920702	12.2019538243177
ENSG00000219073	23436	CELA3B	4.65986420222426	4.28966835030768	4.74042527440026	4.7737830010189	4.68894501207511	4.80561634850713
ENSG00000219481	55672	NBPF1	8.64362706223093	8.65921706371413	8.7012894108686	8.92814883707881	8.36944341371127	8.06300562876513
ENSG00000220205	6844	VAMP2	5.95093584379239	6.1983280940894	5.72729441353353	6.00976166634866	5.83568949221796	5.89758862313005
ENSG00000220749	100131205	RPL21P28	12.7354427851565	12.6044270769571	12.7171503769865	12.847715677102	12.525273438918	12.3016797844741
ENSG00000221819	750	GAS8-AS1	3.7466055682385	3.60821459888643	3.58939126620217	3.81537353257467	3.56503689232596	3.73781365968342
ENSG00000221823	5534	PPP3R1	4.57794523748253	4.82160010511689	4.73827266564933	4.63662586288003	4.73131206425785	4.61292294753919
ENSG00000221826	5671	PSG3	3.09747805922251	3.10084808974773	3.28562755175486	3.53411838282408	3.24897563683413	3.29014798831899
ENSG00000221829	2189	FANCG	5.11587566030151	4.48962619306598	5.47352323148347	5.21083581937152	4.68218222842289	4.87447160092368
ENSG00000221857	NA	NA	4.48537064887298	4.38592913295838	4.3631994408103	4.49492663062787	4.5805427139932	4.69041818987493
ENSG00000221869	1052	CEBPD	8.68684150350265	8.15484463491344	9.7220633200865	5.75318550096145	3.8603467416604	4.69124342614834
ENSG00000221878	5676	PSG7	3.74409111851106	3.59119867986227	3.70219948075628	3.76077159462954	3.80140579111427	3.83513380674251
ENSG00000221914	5520	PPP2R2A	7.87105951062229	7.91854781877263	7.28159460808362	8.22815024193103	8.68971283710246	8.59465943285391
ENSG00000221926	10626	TRIM16	4.98293003640574	6.32047859368174	5.53089340634511	4.70352877321137	5.11994210939257	5.60047272562962
ENSG00000221968	3995	FADS3	5.76543285234614	5.51997129861834	5.28723631794759	7.45539361656763	5.28188406978535	5.3270460556334
ENSG00000223609	3045	HBD	8.57498600488179	4.12133008418232	4.81452518218436	10.1968608188023	5.58495018617643	6.19458737345785
ENSG00000223802	10715	CERS1	4.6253191555341	4.19118364695311	4.52772866866093	4.59991883232969	4.55882276575779	4.26460224389688
ENSG00000223865	3115	HLA-DPB1	7.49856771149834	10.9613826637798	11.1941195099412	5.69964674367162	11.0123380045457	10.7693941812302
ENSG00000224631	NA	NA	11.7701368716616	11.7326029721985	12.2529875525195	11.8002665595153	11.6712282824854	11.4418884044691
ENSG00000224659	26749	GAGE2E	3.67820164915373	3.38494713777477	3.60662053460801	3.64531748384606	3.62747091534474	3.63920874733741
ENSG00000224712	642778	NPIPA3	9.80965755768833	9.81616777584187	8.83027577446973	10.1311636184041	9.46110596658911	9.35122862753201
ENSG00000224975	8552	INE1	4.7737830010189	4.61745645981621	4.58050152468382	4.73334599231339	4.64634374173368	4.76426980879047
ENSG00000224976	NA	NA	7.41716431307719	7.80435335701066	7.76256283548477	7.41591057382984	7.83258411990545	7.3533621073846
