	fastcore_M12.3.16.CCs_4	fastcore_M12.3.16.CSCs_2	fastcore_M4.2.10.CSCs_3	fastcore_M4.2.7.CCs_1	fastcore_M4.2.7.CCs_2	fastcore_M4.2.7.CSCs_1	fastcore_M4.2.7.CSCs_2
3H3MGLTte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HADICOAx	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3HADPACte	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3HADPACtxc	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3HADPACx	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3HBCOARc	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HCINNMsec	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HCINNMup	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HDECECRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HEXDCRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HGLUTCOAm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HIBUPGLUC_Sitr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HIBUPGLUC_Sthv	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HIBUP_Ritr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)
3HIBUP_Rthv	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)
3HIBUP_SGLUhep	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3HIBUP_Sitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HIBUP_Sthv	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HIVAcm	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HIVActe	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HIVActm	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HLVSTAChep	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HLVSTACtbc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HLVSTitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HMPtd	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HMPtm	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HPPAsec	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HPPAup	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HPPNOHGLUCte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HPPPNOHGLUCc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HPPPNOHc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3HPPt	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HPPtm	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HPVSCOAhc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HPVSCOAitm	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HPVSCOAitx	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HPVSTETCOAhcm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HPVSTETCOAhcx	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3HPVSTETCOAitm	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HPVSTETCOAitx	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HPVSTEThc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HPVSTETteb	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HPVSTETtev	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
3HPVShc	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HPVSitr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3HPVSteb	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HPVStep	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)
3HPVSthc	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)
3HSMVACIDhep	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HSMVACIDteb	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HSMVhep	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3HSMVitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3ISPVShc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3ISPVSitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3ISPVSteb	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3ISPVStep	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)
3ISPVSthc	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)
3ITYR_Lte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3IVCRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3MEACMPhc	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3MEACMPitr	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3MGLUTACc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MGLUTACte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MGLUTACtm	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MGLUTRc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MGLUTRte	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3MHISc	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MHISt1	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MHISt2	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3MHISt3	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MOBt2im	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MOBte	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MOPte	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)
3MOX4HOXMte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MOXTYRESSte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3MOXTYRt	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3MTPte	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3OCTDEC2CRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3OCTDECCRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3OCTDECE1CRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3OHACMPhr	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3OHACMPitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3OHACMPtev	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3OHGLUTACOAT3t	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3OHGLUTACm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3OHGLUTACte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3OHGLUTACtm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
3OHSEBACte	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3OHSEBACtxc	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3OHSEBACx	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3OHSEBCOAx	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3OHSUBACte	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3OHSUBACtxc	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3OHSUBACx	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3OHSUBCOAx	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
3PGtr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
3TDCRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3TETD7ECOACRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3THEXDDCOACRNtr	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3TTETDDCOACRNtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
3UIBtd	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)
4AABUTNt	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
4BHGLZABCt	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4BHGLZhr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4BHGLZitr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4BHGLZtev	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4GLU56DIHDINDt	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
4HATVACIDOXDhc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
4HATVACIDhc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)
4HATVACIDitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
4HATVACIDteb	(0, 0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
4HATVACIDtep	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4HATVACIDthc	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
4HATVLACOXDhc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)
4HATVLAChc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4HATVLACitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
4HATVLACteb	(0, 0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
4HATVLACtep	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)
4HATVLACthc	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
4HBZCOAFm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
4HBZFm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
4HBZte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4HMDGLUCitr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
4HMDGLUCtev	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
4HMDZGLUChr	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0, 0)
4HPROLTASCT1	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)
4HPRO_LTte	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)
4MOPte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4OHBUTm	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4OHBUTtce	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4OHBUTtmc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
4OHMDZhr	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)
4OHMDZitr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
4OHMDZtev	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
4OHPROIMINOtc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
4TMEABUTNt1	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
4TMEABUTNt2	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
56DHPVShc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
56DHPVSitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
56DHPVSteb	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
56DHPVStev	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
56DTHMt	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
56DTHMtd	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)
56DURAt	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
56DURAtd	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
56EPPVShc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
56EPPVSitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
56EPPVSteb	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
56EPPVStev	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
5A2OPNTNte	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5A2OPNTNtx	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5AOPt	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
5AOPt2	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
5CYSDOPAt	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5EIPENCm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
5EIPENCte	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
5EIPENCtm	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
5FTHFt2	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5G2OXPTte	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5G2OXPTtx	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5HOXINDOAtr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5HPETATP	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
5HPETtd	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)
5HTRPVESSEC	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
5MTAte	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
5MTHFt2	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
5OHFVSGLUhc	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
5OHFVSGLUitr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
5OHFVSGLUtev	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
5OHFVShc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
5OHFVSitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
